payment_id,user_id,payment_date,amount,product_type
1,2,2026-04-08,490,Месяц
2,4,2026-04-02,2990,Год
3,10,2026-04-20,490,Месяц
4,11,2026-03-31,490,Месяц
5,15,2026-02-20,490,Месяц
6,17,2026-03-10,2990,Год
7,24,2026-02-22,2990,Год
8,25,2026-03-27,2990,Год
9,26,2026-02-23,490,Месяц
10,27,2026-03-27,2990,Год
11,31,2026-02-08,490,Месяц
12,35,2026-01-31,2990,Год
13,36,2026-01-28,2990,Год
14,37,2026-02-22,2990,Год
15,38,2026-01-25,2990,Год
16,48,2026-02-19,490,Месяц
17,57,2026-04-22,2990,Год
18,58,2026-04-21,2990,Год
19,64,2026-01-09,2990,Год
20,65,2026-01-18,490,Месяц
21,66,2026-04-15,2990,Год
22,67,2026-01-18,490,Месяц
23,73,2026-03-05,490,Месяц
24,75,2026-01-10,2990,Год
25,77,2026-03-24,2990,Год
26,82,2026-03-28,2990,Год
27,85,2026-01-29,490,Месяц
28,88,2026-04-28,490,Месяц
29,90,2026-01-14,2990,Год
30,95,2026-04-27,2990,Год
31,109,2026-01-15,2990,Год
32,119,2026-01-17,2990,Год
33,126,2026-02-08,490,Месяц
34,148,2026-02-14,2990,Год
35,153,2026-05-02,490,Месяц
36,163,2026-04-22,490,Месяц
37,164,2026-02-14,2990,Год
38,165,2026-03-30,490,Месяц
39,166,2026-05-08,490,Месяц
40,173,2026-02-08,2990,Год
41,194,2026-01-08,490,Месяц
42,195,2026-03-03,2990,Год
43,205,2026-04-09,490,Месяц
44,214,2026-02-11,2990,Год
45,215,2026-01-25,2990,Год
46,217,2026-04-06,2990,Год
47,218,2026-02-25,490,Месяц
48,219,2026-03-18,490,Месяц
49,220,2026-01-10,2990,Год
50,221,2026-02-21,490,Месяц
51,229,2026-04-05,490,Месяц
52,236,2026-02-16,490,Месяц
53,238,2026-04-23,2990,Год
54,239,2026-01-04,2990,Год
55,246,2026-03-01,490,Месяц
56,247,2026-04-11,490,Месяц
57,252,2026-02-22,2990,Год
58,253,2026-01-10,490,Месяц
59,254,2026-01-18,490,Месяц
60,259,2026-03-10,490,Месяц
61,265,2026-03-08,2990,Год
62,267,2026-02-11,490,Месяц
63,268,2026-04-09,490,Месяц
64,270,2026-04-20,490,Месяц
65,277,2026-04-05,490,Месяц
66,280,2026-04-04,2990,Год
67,294,2026-03-12,2990,Год
68,295,2026-03-24,490,Месяц
69,297,2026-03-06,2990,Год
70,315,2026-04-04,490,Месяц
71,320,2026-04-15,2990,Год
72,327,2026-04-03,490,Месяц
73,336,2026-05-02,490,Месяц
74,343,2026-04-19,490,Месяц
75,344,2026-03-05,490,Месяц
76,354,2026-01-17,2990,Год
77,357,2026-01-15,2990,Год
78,364,2026-04-21,2990,Год
79,367,2026-04-22,2990,Год
80,369,2026-04-22,2990,Год
81,372,2026-03-01,2990,Год
82,373,2026-04-04,490,Месяц
83,377,2026-03-26,490,Месяц
84,378,2026-03-09,2990,Год
85,386,2026-03-30,490,Месяц
86,387,2026-04-26,490,Месяц
87,389,2026-04-24,490,Месяц
88,394,2026-03-01,2990,Год
89,397,2026-02-17,490,Месяц
90,399,2026-03-18,2990,Год
91,403,2026-01-31,490,Месяц
92,406,2026-04-03,2990,Год
93,407,2026-01-14,490,Месяц
94,423,2026-03-21,2990,Год
95,430,2026-04-09,490,Месяц
96,439,2026-03-06,2990,Год
97,444,2026-01-21,490,Месяц
98,448,2026-03-29,490,Месяц
99,454,2026-02-28,2990,Год
100,461,2026-01-07,490,Месяц
101,465,2026-02-12,490,Месяц
102,467,2026-03-12,2990,Год
103,469,2026-01-18,2990,Год
104,472,2026-01-09,490,Месяц
105,475,2026-03-11,490,Месяц
106,479,2026-01-15,490,Месяц
107,489,2026-02-25,490,Месяц
108,491,2026-02-25,2990,Год
109,507,2026-04-26,490,Месяц
110,509,2026-04-19,2990,Год
111,510,2026-03-25,2990,Год
112,514,2026-04-22,490,Месяц
113,517,2026-02-20,2990,Год
114,519,2026-02-12,2990,Год
115,524,2026-02-28,2990,Год
116,527,2026-04-08,2990,Год
117,533,2026-01-31,2990,Год
118,536,2026-01-08,490,Месяц
119,538,2026-03-12,490,Месяц
120,540,2026-01-14,490,Месяц
121,541,2026-02-28,2990,Год
122,542,2026-05-04,2990,Год
123,547,2026-04-14,2990,Год
124,556,2026-05-02,2990,Год
125,561,2026-01-26,490,Месяц
126,565,2026-01-20,490,Месяц
127,566,2026-03-05,2990,Год
128,572,2026-03-25,490,Месяц
129,576,2026-03-13,490,Месяц
130,579,2026-01-13,2990,Год
131,605,2026-04-07,2990,Год
132,606,2026-02-24,490,Месяц
133,608,2026-04-10,2990,Год
134,623,2026-03-01,2990,Год
135,624,2026-03-13,490,Месяц
136,632,2026-05-02,490,Месяц
137,635,2026-01-17,2990,Год
138,638,2026-01-10,490,Месяц
139,639,2026-03-24,2990,Год
140,644,2026-01-24,490,Месяц
141,646,2026-03-13,2990,Год
142,651,2026-02-02,2990,Год
143,653,2026-01-19,490,Месяц
144,656,2026-04-02,2990,Год
145,662,2026-04-19,490,Месяц
146,663,2026-02-06,490,Месяц
147,666,2026-02-07,2990,Год
148,667,2026-03-02,490,Месяц
149,681,2026-01-12,490,Месяц
150,682,2026-02-17,490,Месяц
151,683,2026-01-11,490,Месяц
152,684,2026-01-06,2990,Год
153,690,2026-03-13,490,Месяц
154,696,2026-02-01,2990,Год
155,697,2026-04-06,2990,Год
156,702,2026-03-17,2990,Год
157,707,2026-02-02,2990,Год
158,711,2026-02-11,490,Месяц
159,715,2026-03-01,2990,Год
160,716,2026-01-17,2990,Год
161,720,2026-01-29,490,Месяц
162,721,2026-05-05,2990,Год
163,735,2026-03-10,490,Месяц
164,750,2026-04-24,2990,Год
165,752,2026-05-03,490,Месяц
166,756,2026-01-03,490,Месяц
167,768,2026-01-13,2990,Год
168,774,2026-03-22,490,Месяц
169,776,2026-01-08,2990,Год
170,777,2026-04-15,2990,Год
171,778,2026-01-24,2990,Год
172,781,2026-03-19,2990,Год
173,782,2026-04-05,2990,Год
174,786,2026-04-14,490,Месяц
175,788,2026-03-28,490,Месяц
176,793,2026-02-01,2990,Год
177,794,2026-02-17,490,Месяц
178,799,2026-03-15,2990,Год
179,803,2026-03-21,490,Месяц
180,804,2026-02-06,490,Месяц
181,807,2026-02-15,490,Месяц
182,811,2026-04-15,490,Месяц
183,812,2026-01-13,490,Месяц
184,823,2026-03-15,490,Месяц
185,825,2026-03-30,2990,Год
186,830,2026-04-24,490,Месяц
187,836,2026-02-28,2990,Год
188,840,2026-03-25,490,Месяц
189,855,2026-04-02,2990,Год
190,856,2026-03-31,490,Месяц
191,861,2026-04-11,2990,Год
192,863,2026-03-12,490,Месяц
193,879,2026-03-17,490,Месяц
194,882,2026-04-10,490,Месяц
195,885,2026-01-18,490,Месяц
196,893,2026-01-22,490,Месяц
197,898,2026-03-21,490,Месяц
198,899,2026-03-21,2990,Год
199,900,2026-02-05,490,Месяц
200,908,2026-02-28,2990,Год
201,915,2026-01-21,2990,Год
